exp_id,client,segment,variation,metric,final_value,first_dt,final_dt,days_tracked
7229.0,UGT_ANDROID,Total,3.0,revenue,3667.308068214118,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,4.0,members,14136.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,4.0,revenue,3972.517571091652,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,5.0,members,13926.0,2026-04-06,2026-04-17,12
7229.0,UGT_ANDROID,Total,5.0,revenue,3897.063080531359,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,1.0,members,15438.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,1.0,revenue,1563.3114892917142,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,2.0,members,15482.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,2.0,revenue,845.3340191995183,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,3.0,members,15379.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,3.0,revenue,926.4888685451085,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,4.0,members,15485.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,4.0,revenue,883.547024309635,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,5.0,members,15480.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Splashes,5.0,revenue,1066.7332117216142,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,1.0,members,15438.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,1.0,revenue,12096.731006766604,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,2.0,members,15482.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,2.0,revenue,11193.236306938641,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,3.0,members,15379.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,3.0,revenue,11059.761810908916,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,4.0,members,15485.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,4.0,revenue,12394.611580700146,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,5.0,members,15480.0,2026-04-06,2026-04-17,12
7229.0,UGT_IOS,Total,5.0,revenue,13266.248484140897,2026-04-06,2026-04-17,12
7232.0,UG_WEB,Total,1.0,members,25160.0,2026-04-07,2026-04-09,3
7232.0,UG_WEB,Total,1.0,revenue,1164.7999858856201,2026-04-07,2026-04-09,3
7232.0,UG_WEB,Total,2.0,members,25211.0,2026-04-07,2026-04-09,3
7232.0,UG_WEB,Total,2.0,revenue,1084.6900005340576,2026-04-07,2026-04-09,3
7235.0,UG_WEB,Total,1.0,members,1366.0,2026-04-03,2026-04-07,5
7235.0,UG_WEB,Total,1.0,revenue,19028.039865493774,2026-04-03,2026-04-07,5
7235.0,UG_WEB,Total,2.0,members,1365.0,2026-04-03,2026-04-07,5
7235.0,UG_WEB,Total,2.0,revenue,13744.289911270142,2026-04-03,2026-04-07,5
7238.0,UG_WEB,Total,1.0,members,3335.0,2026-04-16,2026-04-22,7
7238.0,UG_WEB,Total,1.0,revenue,3564.1599979400635,2026-04-16,2026-04-22,7
7238.0,UG_WEB,Total,2.0,members,3308.0,2026-04-16,2026-04-22,7
7238.0,UG_WEB,Total,2.0,revenue,3385.3099822998047,2026-04-16,2026-04-22,7
7241.0,UG_WEB,Total,1.0,members,1112.0,2026-04-08,2026-04-29,22
7241.0,UG_WEB,Total,1.0,revenue,9574.989868164062,2026-04-08,2026-04-29,22
7241.0,UG_WEB,Total,2.0,members,1117.0,2026-04-08,2026-04-29,22
7241.0,UG_WEB,Total,2.0,revenue,11360.069890975952,2026-04-08,2026-04-29,22
7256.0,UGT_ANDROID,Official tabs,1.0,members,1544.0,2026-04-10,2026-04-14,5
7256.0,UGT_ANDROID,Official tabs,1.0,revenue,67.98300285339356,2026-04-10,2026-04-14,5
7256.0,UGT_ANDROID,Official tabs,2.0,members,1614.0,2026-04-10,2026-04-14,5
7256.0,UGT_ANDROID,Official tabs,2.0,revenue,151.37650489634234,2026-04-10,2026-04-14,5
7256.0,UGT_ANDROID,Total,1.0,members,1544.0,2026-04-10,2026-04-14,5
7256.0,UGT_ANDROID,Total,1.0,revenue,345.95000689029695,2026-04-10,2026-04-14,5
